sample_id,variety,times,treatment,sample
A1_S73_L001,28143DAI,3,infected,A1_S73
A1_S73_L002,28143DAI,3,infected,A1_S73
A2_S74_L001,28143DAI,3,infected,A2_S74
A2_S74_L002,28143DAI,3,infected,A2_S74
A3_S75_L001,28143DAI,3,infected,A3_S75
A3_S75_L002,28143DAI,3,infected,A3_S75
A5_S76_L001,28149DAI,3,infected,A5_S76
A5_S76_L002,28149DAI,3,infected,A5_S76
A6_S77_L001,28149DAI,3,infected,A6_S77
A6_S77_L002,28149DAI,3,infected,A6_S77
A7_S777_L001,28149DAI,3,infected,A7_S777
A7_S777_L002,28149DAI,3,infected,A7_S777
AC1_S78_L001,2814CTRL,3,uninfected,AC1_S78
AC1_S78_L002,2814CTRL,3,uninfected,AC1_S78
AC2_S79_L001,2814CTRL,3,uninfected,AC2_S79
AC2_S79_L002,2814CTRL,3,uninfected,AC2_S79
AC3_S80_L001,2814CTRL,3,uninfected,AC3_S80
AC3_S80_L002,2814CTRL,3,uninfected,AC3_S80
B1_S81_L001,98303DAI,3,infected,B1_S81
B1_S81_L002,98303DAI,3,infected,B1_S81
B2_S82_L001,98303DAI,3,infected,B2_S82
B2_S82_L002,98303DAI,3,infected,B2_S82
B3_S83_L001,98303DAI,3,infected,B3_S83
B3_S83_L002,98303DAI,3,infected,B3_S83
B5_S84_L001,98309DAI,3,infected,B5_S84
B5_S84_L002,98309DAI,3,infected,B5_S84
B6_S85_L001,98309DAI,3,infected,B6_S85
B6_S85_L002,98309DAI,3,infected,B6_S85
B7_S86_L001,98309DAI,3,infected,B7_S86
B7_S86_L002,98309DAI,3,infected,B7_S86
BC1_S87_L001,9830CTR,3,uninfected,BC1_S87
BC1_S87_L002,9830CTR,3,uninfected,BC1_S87
BC2_S88_L001,9830CTR,3,uninfected,BC2_S88
BC2_S88_L002,9830CTR,3,uninfected,BC2_S88
BC3_S89_L001,9830CTR,3,uninfected,BC3_S89
BC3_S89_L002,9830CTR,3,uninfected,BC3_S89
C1_S90_L001,149633DAI,3,infected,C1_S90
C1_S90_L002,149633DAI,3,infected,C1_S90
C2_S91_L001,149633DAI,3,infected,C2_S91
C2_S91_L002,149633DAI,3,infected,C2_S91
C3_S92_L001,149633DAI,3,infected,C3_S92
C3_S92_L002,149633DAI,3,infected,C3_S92
C6_S93_L001,149639DAI,3,infected,C6_S93
C6_S93_L002,149639DAI,3,infected,C6_S93
C7_S94_L001,149639DAI,3,infected,C7_S94
C7_S94_L002,149639DAI,3,infected,C7_S94
C8_S95_L001,149639DAI,3,infected,C8_S95
C8_S95_L002,149639DAI,3,infected,C8_S95
CC1_S96_L001,149639CTRL,3,uninfected,CC1_S96
CC1_S96_L002,149639CTRL,3,uninfected,CC1_S96
CC2_S97_L001,149639CTRL,3,uninfected,CC2_S97
CC2_S97_L002,149639CTRL,3,uninfected,CC2_S97
CC3_S98_L001,149639CTRL,3,uninfected,CC3_S98
CC3_S98_L002,149639CTRL,3,uninfected,CC3_S98
D1_S99_L001,N133DAI,3,infected,D1_S99
D1_S99_L002,N133DAI,3,infected,D1_S99
D2_S100_L001,N133DAI,3,infected,D2_S100
D2_S100_L002,N133DAI,3,infected,D2_S100
D3_S101_L001,N133DAI,3,infected,D3_S101
D3_S101_L002,N133DAI,3,infected,D3_S101
D5_S102_L001,N139DAI,3,infected,D5_S102
D5_S102_L002,N139DAI,3,infected,D5_S102
D7_S103_L001,N139DAI,3,infected,D7_S103
D7_S103_L002,N139DAI,3,infected,D7_S103
D8_S104_L001,N139DAI,3,infected,D8_S104
D8_S104_L002,N139DAI,3,infected,D8_S104
DC1_S105_L001,N13CTRL,3,uninfected,DC1_S105
DC1_S105_L002,N13CTRL,3,uninfected,DC1_S105
DC2_S106_L001,N13CTRL,3,uninfected,DC2_S106
DC2_S106_L002,N13CTRL,3,uninfected,DC2_S106
DC3_S107_L001,N13CTRL,3,uninfected,DC3_S107
DC3_S107_L002,N13CTRL,3,uninfected,DC3_S107
E1_S108_L001,417243DAI,3,infected,E1_S108
E1_S108_L002,417243DAI,3,infected,E1_S108
E2_S109_L001,417243DAI,3,infected,E2_S109
E2_S109_L002,417243DAI,3,infected,E2_S109
E4_S110_L001,417243DAI,3,infected,E4_S110
E4_S110_L002,417243DAI,3,infected,E4_S110
E5_S111_L001,417249DAI,3,infected,E5_S111
E5_S111_L002,417249DAI,3,infected,E5_S111
E6_S112_L001,417249DAI,3,infected,E6_S112
E6_S112_L002,417249DAI,3,infected,E6_S112
E7_S113_L001,417249DAI,3,infected,E7_S113
E7_S113_L002,417249DAI,3,infected,E7_S113
EC1_S114_L001,41724CTRL,3,uninfected,EC1_S114
EC1_S114_L002,41724CTRL,3,uninfected,EC1_S114
EC2_S115_L001,41724CTRL,3,uninfected,EC2_S115
EC2_S115_L002,41724CTRL,3,uninfected,EC2_S115
EC3_S116_L001,41724CTRL,3,uninfected,EC3_S116
EC3_S116_L002,41724CTRL,3,uninfected,EC3_S116